rowID	kmeans20	kmeans20_conf	rowName
927	6	0.259190	inputFiles/WOSCorpus(927)
941	6	0.220838	inputFiles/WOSCorpus(941)
951	6	0.094840	inputFiles/WOSCorpus(951)
956	6	0.251363	inputFiles/WOSCorpus(956)
21	7	0.175449	inputFiles/WOSCorpus(21)
26	7	0.171997	inputFiles/WOSCorpus(26)
37	7	0.200422	inputFiles/WOSCorpus(37)
39	7	0.217261	inputFiles/WOSCorpus(39)
71	7	0.249855	inputFiles/WOSCorpus(71)
125	7	0.101549	inputFiles/WOSCorpus(125)
149	7	0.234369	inputFiles/WOSCorpus(149)
181	7	0.253278	inputFiles/WOSCorpus(181)
195	7	0.131838	inputFiles/WOSCorpus(195)
197	7	0.243464	inputFiles/WOSCorpus(197)
209	7	0.244276	inputFiles/WOSCorpus(209)
243	7	0.263328	inputFiles/WOSCorpus(243)
258	7	0.207923	inputFiles/WOSCorpus(258)
281	7	0.071924	inputFiles/WOSCorpus(281)
283	7	0.128092	inputFiles/WOSCorpus(283)
286	7	0.121008	inputFiles/WOSCorpus(286)
312	7	0.183180	inputFiles/WOSCorpus(312)
316	7	0.276024	inputFiles/WOSCorpus(316)
335	7	0.216799	inputFiles/WOSCorpus(335)
349	7	0.127893	inputFiles/WOSCorpus(349)
353	7	0.154757	inputFiles/WOSCorpus(353)
414	7	0.151353	inputFiles/WOSCorpus(414)
423	7	0.189356	inputFiles/WOSCorpus(423)
433	7	0.173385	inputFiles/WOSCorpus(433)
440	7	0.125984	inputFiles/WOSCorpus(440)
450	7	0.228822	inputFiles/WOSCorpus(450)
459	7	0.186052	inputFiles/WOSCorpus(459)
496	7	0.189822	inputFiles/WOSCorpus(496)
555	7	0.131633	inputFiles/WOSCorpus(555)
560	7	0.230118	inputFiles/WOSCorpus(560)
582	7	0.167549	inputFiles/WOSCorpus(582)
586	7	0.075687	inputFiles/WOSCorpus(586)
588	7	0.233504	inputFiles/WOSCorpus(588)
593	7	0.253725	inputFiles/WOSCorpus(593)
