16-Sep-2012 14:24:01
19101	19136	2
1912	26075	3
1913	5607	3
1914	41458	1
1915	27644	2
1916	39191	2
1917	38889	1
1918	24675	3
1919	27481	3
192	41585	2
1920	19501	13
1921	40879	1
1922	19232	4
1923	22972	1
1925	5608	8
1927	33315	3
1928	40101	2
1929	7059	7
193	16487	1
1930	5609	36
193000	25526	1
1931	22053	8
1932	7060	8
1933	22930	7
1934	38363	3
1935	19233	8
1936	29951	9
1937	30847	6
1938	14187	7
1939	5610	10
1940	5611	9
1941	19234	9
1942	33798	1
1943	24676	13
1944	38364	6
1945	27482	7
1946	9695	5
1947	24556	8
1948	16523	22
1949	11963	5
195	26476	2
1950	6276	43
195000	28017	3
1951	21235	16
1952	15710	3
195274	23185	2
195280	26084	6
1953	19545	8
1954	19546	4
1955	4477	16
1956	21897	6
1957	5612	26
1958	19502	7
1959	11964	8
196	41844	2
1960	696	48
196000	41022	1
1961	18629	8
1962	26009	14
1963	10479	7
1964	20800	13
1965	15678	19
1966	15679	19
1967	12573	13
1968	20656	10
1969	23573	10
197	15711	5
1970	405	103
197000	23511	3
1971	14677	17
1972	25871	14
1973	10239	16
1974	21206	11
1975	16537	11
1976	7805	16
1977	12270	20
1978	2751	32
1979	10240	27
1980	10126	137
1981	4931	27
1982	4478	22
1983	10966	25
1984	16944	21
1985	11965	12
1986	8124	22
1987	19477	27
1988	10389	20
1989	7806	30
1990	3597	303
1991	15712	23
1992	15535	31
1993	10480	47
1994	7061	48
1995	3549	39
1996	7062	44
1997	3144	129
1998	7734	62
1999	4479	57
2	1710	805
20	697	652
200	1334	152
2000	1711	198
20000	8865	33
200000	12830	22
2001	2465	167
2002	4632	123
2003	8708	128
20036	31020	1
2004	6277	189
2005	985	216
2006	986	371
2007	698	641
20071	38922	1
2008	699	570
2009	700	494
201	17844	10
2010	1	197
2011	6067	116
2012	7232	170
2013	5066	39
2014	10127	26
2015	3550	81
2016	406	98
2017	25780	25
2018	12379	18
2019	26390	6
202	11389	142
2020	407	377
2021	39998	1
2022	7019	10
2023	27634	9
2024	31119	1
2025	9308	113
2028	32116	1
203	10481	6
2030	5613	81
2034	45469	1
2035	12882	8
2036	43623	1
2037	33731	1
2038	27014	1
204	24958	3
2040	14678	12
2041	26391	6
2042	35579	1
